base,dataset,probe,layer,n,base_acc,auroc,auprc,aurc,auarc,sel_acc@0.25,sel_acc@0.50,sel_acc@0.75,cov@risk<=0.05,cov@risk<=0.10,cov@risk<=0.20,brier,brier_reliability,brier_resolution,brier_uncertainty,ece
qwen7b,id,DCP_mlp,20,500,0.568,0.7992224178403755,0.8408762392163036,0.21494474970654376,0.7830552502934562,0.896,0.792,0.6826666666666666,0.18,0.242,0.46,0.22981407667420717,0.04829349791258958,0.0633266178332797,0.245376,0.2094701527557609
qwen7b,id,SEPs_logreg,24,500,0.568,0.793834767866458,0.8410050297582398,0.2149832346753996,0.7830167653246005,0.904,0.796,0.664,0.084,0.25,0.492,0.22261338003870032,0.0434661211440209,0.06343812232594429,0.245376,0.19233720093653728
qwen7b,id,SEPs_ridge,27,500,0.568,0.7384259259259258,0.7714188799073154,0.26284667870570055,0.7351533212942993,0.832,0.736,0.6533333333333333,0.0,0.112,0.31,,,,,
qwen7b,id,ARD_mlp,20,500,0.568,0.7859448356807512,0.8174891536757257,0.23023012620363648,0.7677698737963635,0.84,0.78,0.68,0.126,0.172,0.452,0.18635955058496909,0.003721516348757507,0.06105201300746891,0.245376,0.06962186970080933
qwen7b,id,ARD_ridge,24,500,0.568,0.7703442879499218,0.8089922376918306,0.23614071875604573,0.7618592812439542,0.856,0.776,0.6693333333333333,0.016,0.154,0.462,0.19315052437056432,0.0034776624813822265,0.055502311452815596,0.245376,0.05034685409704344
qwen7b,hotpotqa,DCP_mlp,16,500,0.33000001311302185,0.7302487562189055,0.5364426830395044,0.5158054933487258,0.48219450665127417,0.6079999804496765,0.47600001096725464,0.3919999897480011,0.0,0.0,0.0,0.2659919487648186,0.07609827412138165,0.0306599571180363,0.2211,0.26866454925667504
qwen7b,hotpotqa,SEPs_logreg,16,500,0.33000001311302185,0.7243600180913614,0.5342260022856987,0.5183995745840624,0.4796004254159376,0.5920000076293945,0.492000013589859,0.3840000033378601,0.004,0.004,0.004,0.2939903561918476,0.08630641429532619,0.011414221946112607,0.2211,0.28968035255481733
qwen7b,hotpotqa,SEPs_ridge,16,500,0.33000001311302185,0.6837991858887382,0.5191085026387322,0.5314786510836957,0.4665213489163043,0.5360000133514404,0.4440000057220459,0.3840000033378601,0.01,0.01,0.014,,,,,
qwen7b,nq,DCP_mlp,20,500,0.328000009059906,0.6672927555168409,0.4497895458001149,0.5688106754624831,0.42918932453751696,0.5120000243186951,0.4359999895095825,0.3866666555404663,0.0,0.0,0.0,0.3743929642592087,0.17258443928671824,0.01801362442035169,0.22041599999999997,0.36897170085273684
qwen7b,nq,SEPs_logreg,20,500,0.328000009059906,0.6614220383275261,0.44501737208313175,0.5767758627295538,0.4212241372704461,0.4880000054836273,0.4320000112056732,0.3893333375453949,0.0,0.0,0.0,0.35584542729416396,0.15186430442974133,0.015016374772995247,0.22041599999999997,0.34722143630082103
qwen7b,nq,SEPs_ridge,16,500,0.328000009059906,0.618956881533101,0.41581320918946224,0.6007124396668109,0.397287560333189,0.37599998712539673,0.41200000047683716,0.3786666691303253,0.006,0.006,0.006,,,,,
